Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Scream,"$90,438,780","$56,838,780",62.8%,"$33,600,000",37.2%
2,The 355,"$20,224,647","$12,059,625",59.6%,"$8,165,022",40.4%
3,The Policeman's Lineage,"$5,384,375",-,-,"$5,384,375",100%
4,Redeeming Love,"$5,283,198","$5,241,765",99.2%,"$41,433",0.8%
5,Waiting for Bojangles,"$3,413,004",-,-,"$3,413,004",100%
6,Koniec swiata czyli Kogel Mogel 4,"$3,360,045",-,-,"$3,360,045",100%
7,Adieu Monsieur Haffmann,"$3,228,038",-,-,"$3,228,038",100%
8,Special Delivery,"$3,166,785",-,-,"$3,166,785",100%
9,Between Two Worlds,"$1,564,575",-,-,"$1,564,575",100%
10,My Hero Academia: World Heroes' Mission,"$1,270,442",-,-,"$1,270,442",100%
11,Swingers,"$1,091,121",-,-,"$1,091,121",100%
12,The King's Daughter,"$966,183","$966,183",100%,-,-
13,Aslan Hürkus Kayip Elmas,"$890,433",-,-,"$890,433",100%
14,For Ziko,"$815,834",-,-,"$815,834",100%
15,Mali Twist,"$736,643",-,-,"$736,643",100%
16,My Brothers and I,"$731,749",-,-,"$731,749",100%
17,Love Is Better Than Life,"$697,141",-,-,"$697,141",100%
18,Hridayam,"$649,387",-,-,"$649,387",100%
19,Placés,"$623,854",-,-,"$623,854",100%
20,The Tiger Rising,"$549,886","$502,920",91.5%,"$46,966",8.5%
21,Gierek,"$536,483",-,-,"$536,483",100%
22,America Latina,"$528,875",-,-,"$528,875",100%
23,Bangarraju,"$524,775",-,-,"$524,775",100%
24,The Butcher's Daughter,"$478,382",-,-,"$478,382",100%
25,Boiling Point,"$432,356",-,-,"$432,356",100%
26,Nitram,"$346,196",-,-,"$346,196",100%
27,Thunderbirds Go Go,"$331,934",-,-,"$331,934",100%
28,Benden Ne Olur,"$316,653",-,-,"$316,653",100%
29,Paw Patrol: Mission Xmas,"$316,130",-,-,"$316,130",100%
30,Heart to Heart,"$309,970",-,-,"$309,970",100%
